PID,RID,RQ,PassiveVoice,AmbiguousPronoun,period,edu,exp.se.scaled,exp.re.scaled,primary.role,dom.os,dom.db,model.occ,model.train,tool,entities.expected,entities.found,entities.missing,entities.superfluous,associations.expected,associations.found,associations.missing,associations.superfluous,associations.wrong,duration.scaled
2,1,0,FALSE,FALSE,1,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,4,4,0,1,4,4,0,0,0,-0.05454176551187366
2,2,1,TRUE,FALSE,2,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,4,3,1,0,3,2,1,1,0,-0.34160368925857654
2,4,3,TRUE,TRUE,3,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,5,4,1,1,4,1,3,0,1,1.0937059294749378
2,3,2,FALSE,TRUE,4,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,4,3,1,0,3,2,1,0,1,-0.34160368925857654
3,1,0,FALSE,FALSE,1,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,4,4,0,1,4,4,0,1,0,-0.6286656130052795
3,3,2,FALSE,TRUE,2,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,4,3,1,0,3,3,0,0,2,-0.6286656130052795
3,2,1,TRUE,FALSE,3,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,4,3,1,1,3,3,0,1,0,1.6678297769683437
3,4,3,TRUE,TRUE,4,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,5,4,1,0,4,3,1,0,0,0.23252015823482924
4,1,0,FALSE,FALSE,1,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,4,2,2,1,4,0,4,1,0,0.806644005728235
4,3,2,FALSE,TRUE,2,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,4,3,1,2,3,2,1,1,1,4.538449014435373
4,4,3,TRUE,TRUE,3,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,5,4,1,0,4,3,1,0,2,0.5195820819815321
4,2,1,TRUE,FALSE,4,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,4,3,1,0,3,2,1,1,0,-0.9157275367519824
5,2,1,TRUE,FALSE,1,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,4,3,1,0,3,2,1,0,0,0.23252015823482924
5,4,3,TRUE,TRUE,2,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,5,4,1,0,4,3,1,0,0,1.0937059294749378
5,1,0,FALSE,FALSE,3,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,4,4,0,1,4,4,0,0,1,0.806644005728235
5,3,2,FALSE,TRUE,4,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,4,4,0,0,3,3,0,0,1,-0.05454176551187366
18,2,1,TRUE,FALSE,1,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,4,3,1,1,3,2,1,1,1,0.5195820819815321
18,4,3,TRUE,TRUE,2,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,5,4,1,0,4,3,1,0,2,-0.34160368925857654
18,3,2,FALSE,TRUE,3,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,4,3,1,0,3,2,1,0,1,-1.2027894604986853
18,1,0,FALSE,FALSE,4,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,4,3,1,0,4,3,1,0,0,-1.2027894604986853
20,4,3,TRUE,TRUE,1,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,5,3,2,1,4,2,2,1,0,-0.6286656130052795
20,2,1,TRUE,FALSE,2,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,4,3,1,2,3,2,1,2,0,-0.05454176551187366
20,3,2,FALSE,TRUE,3,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,4,1,3,4,3,1,2,3,0,0.5195820819815321
20,1,0,FALSE,FALSE,4,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,4,4,0,0,4,4,0,0,0,-1.2027894604986853
15,3,2,FALSE,TRUE,1,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,4,3,1,1,3,2,1,1,1,-0.34160368925857654
15,2,1,TRUE,FALSE,2,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,4,4,0,0,3,3,0,0,0,-0.34160368925857654
15,1,0,FALSE,FALSE,3,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,4,4,0,1,4,4,0,1,0,-0.6286656130052795
15,4,3,TRUE,TRUE,4,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,5,5,0,0,4,4,0,0,1,-0.6286656130052795
